number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,high_winds,pedestrian_in_carriageway,rushhour,nighttime,weekend
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,1,0.25822122571001493,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0625,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.3083209509658247,0,0,1,0.2611336032388664,0,0.21883561643835617,0,0,0,1,1
0.14285714285714285,0.0625,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.3083209509658247,0,0,1,0.2611336032388664,0,0.21883561643835617,0,0,0,1,1
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,1,0.2946357085668535,0,0.39556592765460913,0,1,0,1,0
0.14285714285714285,0.0,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.281563126252505,0,0.21883561643835617,0,0,1,0,0
0.2857142857142857,0.0,0.294908350305499,0.30146271851587586,0.3716442953020134,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,1,0,0,0.23971797884841364,1,0.21883561643835617,1,0,0,0,1
0.2857142857142857,0.0625,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.30103092783505153,0.2,0.30057803468208094,0.2630154639175258,0,0,0,0.23971797884841364,0,0.21883561643835617,0,0,1,0,0
0.2857142857142857,0.0625,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.30103092783505153,0.2,0.30057803468208094,0.2630154639175258,0,0,0,0.23971797884841364,0,0.21883561643835617,0,0,1,0,0
0.2857142857142857,0.125,0.2810175185985121,0.16,0.3215767634854772,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,1,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,1,0
0.2857142857142857,0.125,0.2810175185985121,0.16,0.3215767634854772,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,1,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,1,0
0.2857142857142857,0.125,0.2810175185985121,0.16,0.3215767634854772,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,1,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,1,0
0.0,0.0,0.2810175185985121,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.3828996282527881,0.2630154639175258,0,0,1,0.28776978417266186,1,0.39556592765460913,0,0,0,1,1
0.14285714285714285,0.0,0.2810175185985121,0.23194444444444445,0.2743873887935071,0.1661764705882353,0.2,0.2743827160493827,0.3083209509658247,0,0,0,0.23971797884841364,0,0.21883561643835617,0,0,0,1,1
0.14285714285714285,0.0,0.294908350305499,0.23194444444444445,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.2611336032388664,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0,0.2810175185985121,0.30146271851587586,0.2844374342797056,0.28499613302397525,0.27524752475247527,0.3828996282527881,0.2630154639175258,0,0,1,0.2611336032388664,0,0.21883561643835617,0,0,1,0,0
0.0,0.0625,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,0,0.2946357085668535,1,0.3798449612403101,0,0,0,1,1
0.0,0.0625,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,0,0.2946357085668535,1,0.3798449612403101,0,0,0,1,1
0.14285714285714285,0.0,0.1695827725437416,0.23194444444444445,0.17434620174346202,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,1,1,0,0.25822122571001493,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2613430127041742,0.2568306010928962,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,0,0.23971797884841364,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,0,0.281563126252505,0,0.3453389830508475,0,0,1,0,0
0.14285714285714285,0.0,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.1661764705882353,0.2,0.2743827160493827,0.2630154639175258,0,0,1,0.2675059008654603,0,0.21883561643835617,0,0,0,0,0
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.38095238095238093,0,0.39556592765460913,0,1,0,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,0,0.2675059008654603,1,0.21883561643835617,0,0,1,0,0
0.0,0.0,0.2810175185985121,0.23194444444444445,0.3215767634854772,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,0,0.25822122571001493,0,0.3798449612403101,0,0,1,0,0
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,1,0,0,0.3715277777777778,0,0.39556592765460913,0,1,0,0,0
0.0,0.0,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.2670759785111282,0.28458049886621317,0.3319672131147541,0.2630154639175258,0,0,0,0.38095238095238093,0,0.39556592765460913,0,1,1,0,0
0.0,0.0,0.2810175185985121,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2727272727272727,0.2630154639175258,0,0,1,0.38095238095238093,0,0.39556592765460913,0,1,0,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,1,0.25822122571001493,0,0.21883561643835617,0,0,1,0,0
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,1,0,0,0.3715277777777778,0,0.21883561643835617,0,0,0,0,1
0.0,0.0,0.294908350305499,0.30146271851587586,0.2613430127041742,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,1,0,1,0.23971797884841364,1,0.39556592765460913,0,1,1,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2613430127041742,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,0,0.25822122571001493,1,0.3453389830508475,0,0,1,0,0
0.14285714285714285,0.0,0.2810175185985121,0.23194444444444445,0.17434620174346202,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,1,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,1,0
0.14285714285714285,0.0,0.1695827725437416,0.23194444444444445,0.17434620174346202,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,1,1,0,0.2675059008654603,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,0,1
0.14285714285714285,0.0625,0.294908350305499,0.30146271851587586,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,0,0.2946357085668535,1,0.5200534759358288,0,0,0,1,1
0.14285714285714285,0.0625,0.294908350305499,0.30146271851587586,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,0,0.2946357085668535,1,0.5200534759358288,0,0,0,1,1
0.14285714285714285,0.0,0.2810175185985121,0.30146271851587586,0.3215767634854772,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,1,0,1,0.281563126252505,0,0.21883561643835617,0,0,0,0,1
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.281563126252505,1,0.23357664233576642,0,0,0,0,1
0.0,0.0,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,0,0.2675059008654603,0,0.21883561643835617,0,0,0,1,1
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2613430127041742,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,0,0.38095238095238093,0,0.3453389830508475,0,0,0,0,0
0.0,0.0,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,0,0.2457627118644068,0,0.39556592765460913,0,0,0,0,0
0.14285714285714285,0.0625,0.2810175185985121,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.3715277777777778,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0625,0.2810175185985121,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.3715277777777778,0,0.21883561643835617,0,0,1,0,0
0.0,0.0,0.294908350305499,0.16,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.30057803468208094,0.2630154639175258,0,0,0,0.3976190476190476,1,0.39556592765460913,0,1,0,0,0
0.14285714285714285,0.0,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,1,0.2611336032388664,0,0.20828667413213886,0,0,0,0,0
0.0,0.0625,0.294908350305499,0.30146271851587586,0.3716442953020134,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3502824858757062,1,0,0,0.23971797884841364,0,0.24938875305623473,0,0,0,1,0
0.0,0.0625,0.294908350305499,0.30146271851587586,0.3716442953020134,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3502824858757062,1,0,0,0.23971797884841364,0,0.24938875305623473,0,0,0,1,0
0.14285714285714285,0.0,0.2810175185985121,0.30146271851587586,0.2844374342797056,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.3083209509658247,1,0,0,0.2675059008654603,0,0.5200534759358288,0,0,0,0,1
0.14285714285714285,0.0625,0.2865013774104683,0.30146271851587586,0.2844374342797056,0.30103092783505153,0.28458049886621317,0.2743827160493827,0.3083209509658247,0,0,1,0.2675059008654603,0,0.21883561643835617,0,0,0,1,0
0.14285714285714285,0.0625,0.2865013774104683,0.30146271851587586,0.2844374342797056,0.30103092783505153,0.28458049886621317,0.2743827160493827,0.3083209509658247,0,0,1,0.2675059008654603,0,0.21883561643835617,0,0,0,1,0
0.0,0.0,0.294908350305499,0.30146271851587586,0.2613430127041742,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.3083209509658247,0,0,0,0.25822122571001493,0,0.39556592765460913,0,1,0,1,1
0.14285714285714285,0.0,0.2865013774104683,0.30146271851587586,0.3215767634854772,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.281563126252505,0,0.21883561643835617,0,0,0,0,1
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,0,0.25822122571001493,1,0.5200534759358288,0,0,0,0,1
0.14285714285714285,0.0,0.1695827725437416,0.23194444444444445,0.17434620174346202,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,1,1,0.3715277777777778,0,0.23357664233576642,0,0,0,0,0
0.14285714285714285,0.125,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.30057803468208094,0.2630154639175258,0,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,0,1
0.14285714285714285,0.125,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.30057803468208094,0.2630154639175258,0,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,0,1
0.14285714285714285,0.125,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.30057803468208094,0.2630154639175258,0,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,0,1
0.0,0.0,0.294908350305499,0.30146271851587586,0.2613430127041742,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3083209509658247,0,0,0,0.2457627118644068,1,0.39556592765460913,0,0,1,0,0
0.0,0.0,0.2810175185985121,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.3828996282527881,0.2630154639175258,0,0,0,0.2946357085668535,1,0.39556592765460913,0,1,0,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2613430127041742,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,0,0.281563126252505,1,0.3798449612403101,0,0,1,0,0
0.14285714285714285,0.0625,0.294908350305499,0.30146271851587586,0.3716442953020134,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,1,0,0,0.25822122571001493,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0625,0.294908350305499,0.30146271851587586,0.3716442953020134,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,1,0,0,0.25822122571001493,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0625,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2727272727272727,0.2630154639175258,0,0,0,0.23971797884841364,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0625,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2727272727272727,0.2630154639175258,0,0,0,0.23971797884841364,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0,0.2810175185985121,0.19391634980988592,0.2743873887935071,0.2568306010928962,0.2,0.2743827160493827,0.3083209509658247,0,0,0,0.2946357085668535,0,0.21883561643835617,0,0,0,1,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.2670759785111282,0.28458049886621317,0.2743827160493827,0.3083209509658247,0,0,1,0.25822122571001493,0,0.21883561643835617,0,0,0,0,1
0.0,0.0,0.2810175185985121,0.23194444444444445,0.2844374342797056,0.2670759785111282,0.28458049886621317,0.3319672131147541,0.2630154639175258,0,0,0,0.2457627118644068,0,0.39556592765460913,0,1,1,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.23971797884841364,0,0.3453389830508475,0,0,0,0,1
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.2670759785111282,0.28458049886621317,0.2743827160493827,0.3502824858757062,0,0,0,0.23971797884841364,1,0.39556592765460913,0,1,0,1,1
0.14285714285714285,0.0,0.2810175185985121,0.30146271851587586,0.2743873887935071,0.2670759785111282,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,0,0.3715277777777778,0,0.21883561643835617,0,0,0,0,1
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.38095238095238093,0,0.39556592765460913,0,1,1,0,0
0.2857142857142857,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.3083209509658247,0,0,1,0.281563126252505,0,0.21883561643835617,0,0,1,0,0
0.5714285714285714,0.0,0.2810175185985121,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,0,0.23971797884841364,1,0.21883561643835617,0,0,0,1,1
0.2857142857142857,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.2670759785111282,0.28458049886621317,0.2743827160493827,0.2630154639175258,0,0,0,0.25822122571001493,0,0.21883561643835617,0,0,0,0,0
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.28499613302397525,0.28458049886621317,0.2727272727272727,0.2630154639175258,0,0,0,0.2611336032388664,0,0.39556592765460913,0,1,0,0,1
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.3716442953020134,0.28499613302397525,0.28458049886621317,0.2743827160493827,0.2630154639175258,1,0,1,0.25822122571001493,0,0.21883561643835617,0,0,0,0,0
0.0,0.0625,0.2865013774104683,0.30146271851587586,0.3716442953020134,0.30103092783505153,0.28458049886621317,0.2743827160493827,0.3502824858757062,1,0,0,0.2946357085668535,0,0.21883561643835617,0,0,0,0,1
0.0,0.0625,0.2865013774104683,0.30146271851587586,0.3716442953020134,0.30103092783505153,0.28458049886621317,0.2743827160493827,0.3502824858757062,1,0,0,0.2946357085668535,0,0.21883561643835617,0,0,0,0,1
0.14285714285714285,0.0,0.2865013774104683,0.30146271851587586,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,0,0.2675059008654603,0,0.5200534759358288,0,0,1,0,0
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.2946357085668535,1,0.39556592765460913,0,0,0,0,1
0.2857142857142857,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.28776978417266186,0,0.3453389830508475,0,0,0,0,1
0.0,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.28776978417266186,1,0.39556592765460913,0,0,1,0,0
0.0,0.0,0.2810175185985121,0.30146271851587586,0.2743873887935071,0.2670759785111282,0.28458049886621317,0.3319672131147541,0.2630154639175258,0,0,0,0.2611336032388664,0,0.39556592765460913,0,0,0,0,0
0.0,0.0,0.2865013774104683,0.30146271851587586,0.2743873887935071,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.3502824858757062,0,0,0,0.3715277777777778,0,0.21883561643835617,0,0,0,1,1
0.14285714285714285,0.0,0.294908350305499,0.23194444444444445,0.2844374342797056,0.29315170740809854,0.29320642030608435,0.2743827160493827,0.2630154639175258,0,0,1,0.23971797884841364,0,0.21883561643835617,0,0,0,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.2670759785111282,0.28458049886621317,0.3828996282527881,0.3083209509658247,0,0,1,0.2611336032388664,0,0.21883561643835617,0,0,1,0,0
0.14285714285714285,0.0,0.294908350305499,0.19391634980988592,0.2613430127041742,0.23943661971830985,0.28458049886621317,0.2727272727272727,0.2630154639175258,0,0,0,0.38095238095238093,0,0.3453389830508475,0,0,1,0,0
0.14285714285714285,0.0,0.294908350305499,0.30146271851587586,0.2743873887935071,0.2670759785111282,0.27524752475247527,0.2727272727272727,0.2630154639175258,0,0,0,0.3976190476190476,0,0.21883561643835617,0,0,0,0,1
